carrera,escuela,direccion,maps,pagina_web,telefono
Diseño Gráfico,IP SANTO TOMAS,"Av. Ramón Picarte 1160, Valdivia, Región de los Ríos, Chile",https://goo.gl/maps/hknbuKe3u4D2,http://ipcft.santotomas.cl/carreras/diseno-grafico/,(+56) 600 444 4444
Diseño Gráfico,IP SANTO TOMAS,"Buena Vecindad 91, Puerto Montt, X Región, Chile",https://goo.gl/maps/iXH9xK2auEm,http://ipcft.santotomas.cl/carreras/diseno-grafico/,(+56) 600 444 4444
Diseño Gráfico,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,"Brasil 2950, Valparaíso, Región de Valparaíso, Chile",https://goo.gl/maps/qVxVtKUveTz,http://www.pucv.cl/pucv/pregrado/diseno-grafico/2015-06-08/161054.html,(+56 32) 227 4411
Diseño Gráfico,UNIVERSIDAD ANDRES BELLO,"Quillota 980, Viña del Mar, Región de Valparaíso, Chile",https://goo.gl/maps/8r6CQPuU9Rq,http://www.unab.cl/admision/carreras/diseno-grafico/,(+56) 800 220 333
Diseño Gráfico,UNIVERSIDAD ANDRES BELLO,"Purísima 225, Recoleta,Región Metropolitana, Chile",https://goo.gl/maps/X9FAMRYd62R2,http://www.unab.cl/admision/carreras/diseno-grafico/,(+56) 800 220 333
Diseño Gráfico,UNIVERSIDAD CATOLICA DE TEMUCO,"Av. Alemania 422, Temuco, IX Región, Chile",https://goo.gl/maps/pWFfu3fPYUS2,https://admision.uct.cl/dis-grafico/,(+56 45) 220 3822
Diseño Gráfico,UNIVERSIDAD DE CHILE,"Portugal 84, Santiago, Región Metropolitana, Chile",https://goo.gl/maps/iBnQ8ci7pkr,http://www.fau.uchile.cl/diseno,(+56 2) 2978 3078
Diseño Gráfico,UNIVERSIDAD DE LAS AMERICAS,"Av. Antonio Varas 929, Providencia, Región Metropolitana, Chile",https://goo.gl/maps/rSHBof8JiQR2,http://admision.udla.cl/carrera/diseno-grafico,(+56 2) 2253 1888
Diseño Gráfico,UNIVERSIDAD DEL BIO-BIO,"Av. Casilla 5-C - Collao 1202, Concepción, Región del Bío Bío, Chile",https://goo.gl/maps/zVHGiTFYYN32http://ubiobio.cl/admision/Arquitectura_Construccion_Diseno/3/Diseno_Grafico/,(+56 41) 311 1200
Diseño Gráfico,UNIVERSIDAD DEL PACIFICO,"Av. Las Condes 11121, Las Condes, Región Metropolitana, Chile",https://goo.gl/maps/tNKwEe45bNk,http://web.upacifico.cl/noticias/categoria/carreras/diseno-grafico/,(+56 2) 2862 5315
Diseño Gráfico Computacional,CFT ICEL,"Av Libertador Bernardo O'Higgins 2520, Santiago, Región Metropolitana, Chile",https://goo.gl/maps/ntNRNNmx97D2,http://www.icel.cl/diseno-grafico-computacional/,(+56 2) 2439 9999
Diseño Gráfico Computacional,CFT ICEL,"Av. Los Pajaritos 4650, Maipú, Región Metropolitana, Chile",https://goo.gl/maps/5eGXLNx6mKC2,http://www.icel.cl/diseno-grafico-computacional/,(+56 2)2439 9999
Diseño Gráfico Profesional,IP AIEP,"Av. Ejército Libertador 49, Santiago, Región Metropolitana, Chile",https://goo.gl/maps/Ai68M5yfZGU2,http://www.aiep.cl/carrera/diseno-grafico/43/,(+56) 600 585 5050
Diseño Gráfico Profesional,IP AIEP,"Triana 820, Providencia, Región Metropolitana, Chile",https://goo.gl/maps/yWghYPT3Q2r,http://www.aiep.cl/carrera/diseno-grafico/43/,(+56) 600 585 5050
Diseño Gráfico Profesional,IP AIEP,"Cuevas 70, Rancagua, VI Región, Chile",https://goo.gl/maps/EtJvQGvvvHB2,http://www.aiep.cl/carrera/diseno-grafico/43/,(+56) 600 585 5050
Diseño Gráfico Profesional,IP AIEP,"Barros Arana 302, Concepción, Región del Bío Bío, Chile",https://goo.gl/maps/476m6K7xWJx,http://www.aiep.cl/carrera/diseno-grafico/43/,(+56) 600 585 5050
Diseño Gráfico Profesional,IP AIEP,"Ejército 200, Puerto Montt, X Región, Chile",https://goo.gl/maps/SpepmiVqzVm,http://www.aiep.cl/carrera/diseno-grafico/43/,(+56) 600 585 5050
Diseño Gráfico Profesional,IP INACAP,"Av. La Tirana 4310, Iquique, Región de Tarapacá, Chile",https://goo.gl/maps/6kos1tWGKTQ2,http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,(+56 57) 2517 966
Diseño Gráfico Profesional,IP INACAP,"Francisco de Aguirre 389, La Serena, Región de Coquimbo, Chile",https://goo.gl/maps/QJRcgWHSLn12,http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,(+56 51) 255 3500
Diseño Gráfico Profesional,IP INACAP,"Apoquindo Ote. 7282, Las Condes, Región Metropolitana, Chile",https://goo.gl/maps/JNXGPpDUSrz,http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,(+56 2) 2472 2500
Diseño Gráfico Profesional,IP INACAP,"Brown Nte 290, Ñuñoa, Región Metropolitana, Chile",https://goo.gl/maps/36DpUPjYmuu,http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,2 476 6100
Diseño Gráfico Profesional,IP INACAP,"Av. Concha Y Toro 2730, Puente Alto, Región Metropolitana, Chile",https://goo.gl/maps/43Snj8KpJov,http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,(+56) 800 202 520
Diseño Gráfico Profesional,IP INACAP,"Juan Fernández 2010, Curicó, VII Región, Chile",https://goo.gl/maps/kNVL6qzi4CD2,http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,(+56 75) 254 3004
Diseño Gráfico Profesional,IP INACAP,"Luis Durand 2150, Temuco, IX Región, Chile",https://goo.gl/maps/FUxALpsburR2,http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,(+56 45) 291 6700
Diseño Gráfico Profesional,IP INACAP,"Alcalde René Soriano Bórquez 2382, Osorno, X Región, Chile",https://goo.gl/maps/Xb8ZJUki7QN2,http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,(+56 64) 225 57100
Diseño Gráfico Profesional,IP INACAP,"Av. Bulnes 4, Punta Arenas, Región de Magallanes y de la Antártica Chilena, Chile",https://goo.gl/maps/ZpmB6WCdGT42,http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,(+56 61) 271 3100
Diseño Gráfico Profesional ,IP INACAP,"Santa María 2190, Arica, Región de Arica y Parinacota, Chile",https://goo.gl/maps/Gy3qMfuctU72,http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,(+56 58) 258 3900
Diseño Gráfico Publicitario,IP LOS LEONES,"Arturo Prat 269, Santiago, Región Metropolitana, Chile",https://goo.gl/maps/Zysc9V9y3rL2,http://www.ipleones.cl/carreras/diseno-grafico-publicitario,(+56 2) 2652 1200
Diseño Industrial,IP DUOC UC,"Álvarez 2336, Viña del Mar, Región de Valparaíso, Chile",https://goo.gl/maps/5M4ShCs6aZS2,http://www.duoc.cl/carrera/diseno-industrial,(+56 2) 2999 3862
Diseño Industrial,IP DUOC UC,"Camino El Alba 12881, Las Condes, Región Metropolitana, Chile",https://goo.gl/maps/Xz9WGykZhrP2,http://www.duoc.cl/carrera/diseno-industrial,(+56 2) 2999 3862
Diseño Industrial,IP DUOC UC,"Av. Américo Vespucio 1501, Cerrillos, Región Metropolitana, Chile",https://goo.gl/maps/y2EzUzaoYZ12,http://www.duoc.cl/carrera/diseno-industrial,(+56 2) 2999 3862
Diseño Industrial,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,"Brasil 2950, Valparaíso, Región de Valparaíso, Chile",https://goo.gl/maps/QYQ1fDR7yRy,http://www.pucv.cl/pucv/pregrado/diseno-industrial/2015-06-08/162247.html,(+56 32) 227 3000
Diseño Industrial,UNIVERSIDAD DE CHILE,"Portugal 84, Santiago, Región Metropolitana, Chile",https://goo.gl/maps/iBnQ8ci7pkr,http://www.uchile.cl/carreras/4929/diseno,(+56 2) 2978 3011
Diseño Industrial,UNIVERSIDAD TECNOLOGICA METROPOLITANA,"Dieciocho 161, Santiago, Región Metropolitana, Chile",https://goo.gl/maps/U8eYqHBun482,https://fhtcs.utem.cl/carreras-ingreso-psu/diseno-industrial/,(+56 2) 2787 7500
Diseño Mención Comunicación/Equipamiento,UNIVERSIDAD DE LA SERENA,"Benavente 980, La Serena, Región de Coquimbo, Chile",https://goo.gl/maps/g6Za3VCEqC42,http://www.userena.cl/boton-carreras/category/facultad-de-humanidades-2.html,(+56 51) 220 4000
Diseño Mención Industrial/Gráfico/Ambienstes,UNIVERSIDAD MAYOR,"Portugal 351, Santiago, Región Metropolitana, Chile",https://goo.gl/maps/6ums6CLBfYw,https://www.umayor.cl/um/carreras/diseno-santiago/10000,(+56) 600 328 1000
Diseño Multimedia,UNIVERSIDAD DE TARAPACA,"Gral Velásquez 1775, Arica, Región de Arica y Parinacota, Chile",https://goo.gl/maps/KJJ3UvKm6cP2,http://admision.uta.cl/diseno-multimedia/admision/2016-03-01/172441.html,(+56) 58 220 5100
Diseño Teatral,CFT DEL MEDIO AMBIENTE,"Compañía de Jesús 1447, Santiago, Región Metropolitana, Chile",https://goo.gl/maps/HyPG7U3Jmty,http://idma.cl/carreras/,(+56 2) 2687 3625
Diseño Vestuario y Textiles,UNIVERSIDAD DEL PACIFICO,"Av. Las Condes 11121, Las Condes, Región Metropolitana, Chile",https://goo.gl/maps/tNKwEe45bNk,http://www.upacifico.cl/carrera/diseno-de-vestuario-y-textiles#!/carrera/diseno-de-vestuario-y-textiles,(+56 2) 2862 5315
